產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000001,Listra,Fullinsole,"Listra Full insole ""XS""",Listra Full insole,"Listra 全墊 ""XS"""
PD000000002,Listra,Fullinsole,"Listra Full insole ""S""",Listra Full insole,"Listra 全墊 ""S"""
PD000000003,Listra,Fullinsole,"Listra Full insole ""M""",Listra Full insole,"Listra 全墊 ""M"""
PD000000004,Listra,Fullinsole,"Listra Full insole ""L""",Listra Full insole,"Listra 全墊 ""L"""
PD000000005,Listra,Fullinsole,"Listra Full insole ""XL""",Listra Full insole,"Listra 全墊 ""XL"""
PD000000006,Listra,Fullinsole,"Listra Full insole ""XXL""",Listra Full insole,"Listra 全墊 ""XXL"""
PD000000007,Listra,Heel Cup,"Listra Heel Cup ""M""",Listra Heel Cup,"Listra 半墊 ""M"""
PD000000008,Listra,Heel Cup,"Listra Heel Cup ""L""",Listra Heel Cup,"Listra 半墊 ""L"""
PD000000009,Listra,3/4 Insole,"Listra 3/4 Insole ""S""",Listra 3/4 Insole,"Listra 3/4墊 ""S"""
PD000000010,Listra,3/4 Insole,"Listra 3/4 Insole ""M""",Listra 3/4 Insole,"Listra 3/4墊 ""M"""
PD000000011,Listra,3/4 Insole,"Listra 3/4 Insole ""L""",Listra 3/4 Insole,"Listra 3/4墊 ""L"""
PD000000012,Listra,3/4 Insole,"Listra 3/4 Insole ""XL""",Listra 3/4 Insole,"Listra 3/4墊 ""XL"""
PD000000013,Listra,3/4 Insole,"Listra 3/4 Insole ""XXL""",Listra 3/4 Insole,"Listra 3/4墊 ""XXL"""
PD000000014,Listra,Heel Cup,"Listra Heel Cup ""S""",Listra Heel Cup,"Listra 半墊 ""S"""
PD000000015,Listra,Children Insole,"Listra Two-Layer Children Insole ""23""",Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole ""23"""
PD000000016,Listra,Children Insole,"Listra Two-Layer Children Insole ""24""",Listra Two-Layer Children Insole,"Listra Two-Layer Children Insole ""24"""
PD000000017,Bort,Active Support,Bort #124500 Active Cool-KUHLGEL,Bort #124500 Active Cool-KUHLGEL,Bort #124500 蘆薈膏
PD000000018,Bort,Active Support,Bort #124520 Active Cool-KUHLGEL (試用裝),Bort #124500 Active Cool-KUHLGEL,Bort #124520 蘆薈膏 (試用裝)
PD000000019,Bort,Active Support,Bort #107410 Foot Balm,Bort #107410 Foot Balm,Bort #107410 腳油膏
PD000000020,Boso,Blood Pressure Meter,Boso Medicus Control,Boso Medicus Control,Boso Medicus Control
PD000000021,Comefree,Massage machine,Comefree CF-341 指壓按摩球,Comefree CF-341 指壓按摩球,CF-341 指壓按摩球
PD000000022,Comefree,Massage machine,Comefree CF-344 元氣小滾輪按摩器,Comefree CF-344 元氣小滾輪,CF-344 元氣小滾輪按摩器
PD000000023,Comefree,Massage machine,Comefree 親蜜舒壓按摩組,Comefree 親蜜舒壓按摩組,Comefree 親蜜舒壓按摩組
PD000000024,Comefree,Massage machine,Comefree Massage (Single)-Orange,Comefree Massage (Single),Comefree Massage (Single)-Orange
PD000000025,Comefree,Massage machine,Comefree Massage (Single)-Green,Comefree Massage (Single),Comefree Massage (Single)-Green
PD000000026,MIA,Cushion,MIA Metatarsal Cushion (White) - Soft,MIA Metatarsal Cushion,MIA 前掌墊 (白色)
PD000000027,MIA,Cushion,MIA Metatarsal Cushion (Blue) - Extra Soft,MIA Metatarsal Cushion,MIA 前掌墊 (藍色)
PD000000028,MIA,Gel Pad,MIA Loving Heat Pack,MIA Loving Heat Pack,MIA Loving Heat Pack
PD000000029,Everyway,Optional Part,MIA 3D Pad (T.E.N.S.),MIA 3D Pad (T.E.N.S.),MIA 3D Pad (T.E.N.S.)
